"Trade.ID","Date...Time","Product","Delivery.Date","Quantity","Unit.Price","Total.Quantity","Value","Off.Market.Trade","Broker","Anonymous"
31893,2025-09-30 12:21:00,"CP-NZU","2-Oct-25",250,57,250,14250,"","N","Y"
31892,2025-09-30 12:21:00,"CP-NZU","2-Oct-25",52,57.1,52,2969.2,"","N","Y"
31909,2025-10-01 16:36:00,"CP-NZU","3-Oct-25",312,57,312,17784,"","N","Y"
31908,2025-10-01 16:36:00,"CP-NZU","3-Oct-25",188,57,188,10716,"","N","Y"
31918,2025-10-02 16:19:00,"CP-NZU","6-Oct-25",1000,56.95,1000,56950,"","N","Y"
31927,2025-10-02 17:24:00,"CP-NZU","6-Oct-25",332,56.5,332,18758,"","N","Y"
31959,2025-10-06 13:20:00,"CP-NZU","8-Oct-25",205,57,205,11685,"","N","Y"
31958,2025-10-06 13:20:00,"CP-NZU","8-Oct-25",500,56.9,500,28450,"","N","Y"
31957,2025-10-06 13:20:00,"CP-NZU","8-Oct-25",187,56.75,187,10612.25,"","N","Y"
31968,2025-10-06 15:40:00,"CP-NZU","8-Oct-25",500,57,500,28500,"","N","Y"
31967,2025-10-06 15:40:00,"CP-NZU","8-Oct-25",2195,57,2195,125115,"","N","Y"
31969,2025-10-06 15:53:00,"CP-NZU","8-Oct-25",1200,56.9,1200,68280,"","N","Y"
31974,2025-10-07 08:15:00,"CP-NZU","9-Oct-25",1000,56.75,1000,56750,"","N","Y"
31975,2025-10-07 12:12:00,"CP-NZU","9-Oct-25",1000,56.6,1000,56600,"","N","Y"
31976,2025-10-07 13:32:00,"CP-NZU","9-Oct-25",1000,56.5,1000,56500,"","N","Y"
32001,2025-10-08 10:54:00,"CP-NZU","10-Oct-25",188,55.5,188,10434,"","N","Y"
32007,2025-10-08 12:42:00,"CP-NZU","10-Oct-25",171,55.5,171,9490.5,"","N","Y"
32112,2025-10-14 11:47:00,"CP-NZU","16-Oct-25",500,56,500,28000,"","N","Y"
32113,2025-10-14 11:54:00,"CP-NZU","16-Oct-25",37,56,37,2072,"","N","Y"
32120,2025-10-14 15:06:00,"CP-NZU","16-Oct-25",400,56,400,22400,"","N","Y"
32124,2025-10-15 12:07:00,"CP-NZU","17-Oct-25",300,56,300,16800,"","N","Y"
32125,2025-10-15 12:10:00,"CP-NZU","17-Oct-25",1000,56,1000,56000,"","N","Y"
32127,2025-10-15 13:58:00,"CP-NZU","17-Oct-25",100,56,100,5600,"","N","Y"
32136,2025-10-16 13:28:00,"CP-NZU","20-Oct-25",325,56,325,18200,"","N","Y"
32135,2025-10-16 13:28:00,"CP-NZU","20-Oct-25",175,56,175,9800,"","N","Y"
32137,2025-10-16 16:43:00,"CP-NZU","20-Oct-25",1000,55.5,1000,55500,"","N","Y"
32151,2025-10-17 09:17:00,"CP-NZU","21-Oct-25",7500,55.9,7500,419250,"","N","Y"
32150,2025-10-17 09:17:00,"CP-NZU","21-Oct-25",1500,55.5,1500,83250,"","N","Y"
32149,2025-10-17 09:17:00,"CP-NZU","21-Oct-25",1000,55.9,1000,55900,"","N","Y"
32210,2025-10-21 10:39:00,"CP-NZU","23-Oct-25",663,55.8,663,36995.4,"","N","Y"
32226,2025-10-21 12:42:00,"CP-NZU","23-Oct-25",121,55,121,6655,"","N","Y"
32354,2025-10-28 14:18:00,"CP-NZU","30-Oct-25",1000,54.9,1000,54900,"","N","Y"
32370,2025-10-29 14:45:00,"CP-NZU","31-Oct-25",1274,53,1274,67522,"","N","Y"
32377,2025-10-30 09:16:00,"CP-NZU","3-Nov-25",40,52.9,40,2116,"","N","Y"
32379,2025-10-30 09:17:00,"CP-NZU","3-Nov-25",360,52.9,360,19044,"","N","Y"
32378,2025-10-30 09:17:00,"CP-NZU","3-Nov-25",1000,52.9,1000,52900,"","N","Y"
32389,2025-10-30 12:30:00,"CP-NZU","3-Nov-25",1200,52.8,1200,63360,"","N","Y"
32445,2025-11-03 09:31:00,"CP-NZU","5-Nov-25",200,53,200,10600,"","N","Y"
32444,2025-11-03 09:31:00,"CP-NZU","5-Nov-25",300,53,300,15900,"","N","Y"
32463,2025-11-03 19:15:00,"CP-NZU","5-Nov-25",330,51,330,16830,"","N","Y"
32465,2025-11-04 09:31:00,"CP-NZU","6-Nov-25",500,52,500,26000,"","N","Y"
32479,2025-11-05 08:54:00,"CP-NZU","7-Nov-25",1500,50,1500,75000,"","N","Y"
32478,2025-11-05 08:54:00,"CP-NZU","7-Nov-25",500,51.5,500,25750,"","N","Y"
32532,2025-11-07 14:51:00,"CP-NZU","11-Nov-25",20,43.75,20,875,"","N","Y"
32568,2025-11-10 10:50:00,"CP-NZU","12-Nov-25",33,44,33,1452,"","N","Y"
32567,2025-11-10 10:50:00,"CP-NZU","12-Nov-25",15,44.25,15,663.75,"","N","Y"
32591,2025-11-11 13:06:00,"CP-NZU","13-Nov-25",75,45,75,3375,"","N","Y"
32596,2025-11-11 15:34:00,"CP-NZU","13-Nov-25",46,45,46,2070,"","N","Y"
32608,2025-11-12 11:14:00,"CP-NZU","14-Nov-25",177,45.3,177,8018.1,"","N","Y"
32614,2025-11-12 12:54:00,"CP-NZU","14-Nov-25",600,47,600,28200,"","N","Y"
32615,2025-11-12 13:42:00,"CP-NZU","14-Nov-25",400,47,400,18800,"","N","Y"
32624,2025-11-12 14:43:00,"CP-NZU","14-Nov-25",500,46.5,500,23250,"","N","Y"
32627,2025-11-13 10:10:00,"CP-NZU","17-Nov-25",500,43.75,500,21875,"","N","Y"
32639,2025-11-13 11:28:00,"CP-NZU","17-Nov-25",178,43,178,7654,"","N","Y"
32687,2025-11-17 10:38:00,"CP-NZU","19-Nov-25",100,43,100,4300,"","N","Y"
32688,2025-11-17 11:21:00,"CP-NZU","19-Nov-25",15,43,15,645,"","N","Y"
32713,2025-11-19 14:35:00,"CP-NZU","21-Nov-25",178,43.5,178,7743,"","N","Y"
32719,2025-11-19 16:27:00,"CP-NZU","21-Nov-25",1000,44,1000,44000,"","N","Y"
32787,2025-11-24 11:14:00,"CP-NZU","26-Nov-25",600,46,600,27600,"","N","Y"
32788,2025-11-24 14:25:00,"CP-NZU","26-Nov-25",165,44,165,7260,"","N","Y"
32826,2025-11-26 14:18:00,"CP-NZU","28-Nov-25",1000,43,1000,43000,"","N","Y"
32828,2025-11-26 15:07:00,"CP-NZU","28-Nov-25",639,42.5,639,27157.5,"","N","Y"
32829,2025-11-26 15:10:00,"CP-NZU","28-Nov-25",26,45,26,1170,"","N","Y"
32834,2025-11-27 12:29:00,"CP-NZU","1-Dec-25",1000,40,1000,40000,"","N","Y"
32853,2025-11-27 15:26:00,"CP-NZU","1-Dec-25",1000,40,1000,40000,"","N","Y"
32974,2025-12-05 09:13:00,"CP-NZU","9-Dec-25",400,41,400,16400,"","N","Y"
32983,2025-12-05 12:22:00,"CP-NZU","9-Dec-25",1500,42,1500,63000,"","N","Y"
